name,category,quantity,imageUrl
Microfono Shure SM7B,Audio,2,https://via.placeholder.com/300x300?text=Shure+SM7B
Cuffie Monitor Sony MDR7506,Audio,5,https://via.placeholder.com/300x300?text=Sony+MDR7506
Mixer Behringer X32,Audio,1,https://via.placeholder.com/300x300?text=Behringer+X32
Cavi XLR 5m,Cablaggi,20,https://via.placeholder.com/300x300?text=Cavi+XLR
Panasonic PT-DZ21K Projector,Video,3,https://via.placeholder.com/300x300?text=Panasonic+Projector
Sony UMC-4K50 4K Camera,Video,2,https://via.placeholder.com/300x300?text=Sony+Camera
Schermo Proiezione 200x112,Strutture,1,https://via.placeholder.com/300x300?text=Schermo+Proiezione
Cavalletto Luce PRO,Luci,4,https://via.placeholder.com/300x300?text=Cavalletto+Luce
LED Par 64 RGB,Luci,12,https://via.placeholder.com/300x300?text=LED+Par+64
Staffa Muro Universale,Strutture,10,https://via.placeholder.com/300x300?text=Staffa+Muro
Switch Ubiquiti EdgeSwitch 48,IT e Reti,2,https://via.placeholder.com/300x300?text=Switch+Ubiquiti
